paper,conf,year,doi,position,name,orcid,identity
agile_2020_022,agile,2020,10.5194/agile-giss-1-23-2020,5,Stephan Winter,0000-0002-3403-6939,orcid:0000-0002-3403-6939
agile_2020_022,agile,2020,10.5194/agile-giss-1-23-2020,6,Martin Tomko,0000-0002-5736-4679,orcid:0000-0002-5736-4679
agile_2020_022,agile,2020,10.5194/agile-giss-1-23-2020,7,Simon Scheider,0000-0002-2267-4810,orcid:0000-0002-2267-4810
agile_2022_004,agile,2022,10.5194/agile-giss-3-4-2022,1,Jean-Marie Favreau,0000-0002-2460-6336,orcid:0000-0002-2460-6336
agile_2022_004,agile,2022,10.5194/agile-giss-3-4-2022,2,Jérémy Kalsron,,name:jeremy kalsron
agile_2022_012,agile,2022,10.5194/agile-giss-3-12-2022,1,Eva Nuhn,0000-0003-2443-8122,orcid:0000-0003-2443-8122
agile_2022_012,agile,2022,10.5194/agile-giss-3-12-2022,2,Franziska König,,name:franziska konig
agile_2022_012,agile,2022,10.5194/agile-giss-3-12-2022,3,Sabine Timpf,0000-0002-7964-4110,orcid:0000-0002-7964-4110
agile_2022_020,agile,2022,10.5194/agile-giss-3-20-2022,1,Pengxiang Zhao,0000-0002-5279-9331,orcid:0000-0002-5279-9331
agile_2022_020,agile,2022,10.5194/agile-giss-3-20-2022,2,Aoyong Li,0000-0001-8032-5881,orcid:0000-0001-8032-5881
agile_2022_020,agile,2022,10.5194/agile-giss-3-20-2022,3,Petter Pilesjö,0000-0001-7963-4548,orcid:0000-0001-7963-4548
agile_2022_020,agile,2022,10.5194/agile-giss-3-20-2022,4,Ali Mansourian,0000-0001-6812-4307,orcid:0000-0001-6812-4307
agile_2023_002,agile,2023,10.5194/agile-giss-4-3-2023,1,Raphaël Bres,,name:bres raphael
agile_2023_002,agile,2023,10.5194/agile-giss-4-3-2023,2,Verónika Peralta,0000-0002-9236-9088,orcid:0000-0002-9236-9088
agile_2023_002,agile,2023,10.5194/agile-giss-4-3-2023,3,Arnaud Le-Guilcher,,orcid:0000-0001-6673-6158
agile_2023_002,agile,2023,10.5194/agile-giss-4-3-2023,4,Thomas Devogele,0000-0001-9187-8385,orcid:0000-0001-9187-8385
agile_2023_002,agile,2023,10.5194/agile-giss-4-3-2023,5,Ana-Maria Olteanu-Raimond,,orcid:0000-0002-1101-1333
agile_2023_002,agile,2023,10.5194/agile-giss-4-3-2023,6,Cyril de Runz,0000-0002-5951-6859,orcid:0000-0002-5951-6859
agile_2023_010,agile,2023,10.5194/agile-giss-4-11-2023,1,Carolina Pereira Marghidan,0000-0003-4427-4065,orcid:0000-0003-4427-4065
agile_2023_010,agile,2023,10.5194/agile-giss-4-11-2023,2,Maarten van Aalst,0000-0003-0319-5627,orcid:0000-0003-0319-5627
