paper,title,doi,openalex_title,sim_openalex
agile_2019_007,Route Choice Decisions of E-bike Users: Analysis of GPS Tracking Data in the Netherlands,10.1007/978-3-030-14745-7_7,Route Choice Decisions of E-bike Users: Analysis of GPS Tracking Data in the Netherlands,1.0
agile_2019_015,Market Area Delineation for Airports to Predict the Spread of Infectious Disease,10.1007/978-3-030-14745-7_15,Market Area Delineation for Airports to Predict the Spread of Infectious Disease,1.0
agile_2021_003,Investigating drivers’ geospatial abilities in unfamiliar environments (copernicus.org),10.5194/agile-giss-2-3-2021,Investigating drivers’ geospatial abilities in unfamiliar environments,0.9019607843137255
agile_2021_011,Extraction of linear structures from digital terrain models using deep learning (copernicus.org),10.5194/agile-giss-2-11-2021,Extraction of linear structures from digital terrain models using deep learning,0.9132947976878613
agile_2022_008,"Classifying pedestrian trajectories by Machine learning using laser sensor data
",10.5194/agile-giss-3-8-2022,Classifying pedestrian trajectories by Machine learning using laser sensor data,1.0
agile_2022_016,GeoXTag: Relative Spatial Information Extraction and Tagging of Unstructured Text,10.5194/agile-giss-3-16-2022,GeoXTag: Relative Spatial Information Extraction and Tagging of Unstructured Text,1.0
agile_2023_006,Detecting Road Damages in Mobile Mapping Point Clouds using Competitive Reconstruction Networks,10.5194/agile-giss-4-7-2023,Detecting Road Damages in Mobile Mapping Point Clouds using Competitive Reconstruction Networks,1.0
agile_2023_014,Advancing Forest Monitoring and Assessment Through Immersive Virtual Reality,10.5194/agile-giss-4-15-2023,Advancing Forest Monitoring and Assessment Through Immersive Virtual Reality,1.0
giscience_2016_005,Distance-Constrained k Spatial Sub-Networks: A Summary of Results,10.1007/978-3-319-45738-3_5,Distance-Constrained k Spatial Sub-Networks: A Summary of Results,1.0
giscience_2016_021,Measuring Cognitive Load for Map Tasks Through Pupil Diameter,10.1007/978-3-319-45738-3_21,Measuring Cognitive Load for Map Tasks Through Pupil Diameter,1.0
giscience_2018_004,Considerations of Graphical Proximity and Geographical Nearness,10.4230/LIPIcs.GIScience.2018.4,Considerations of Graphical Proximity and Geographical Nearness,1.0
giscience_2018_012,Heterogeneous Skeleton for Summarizing Continuously Distributed Demand in a Region,10.4230/LIPIcs.GIScience.2018.12,Heterogeneous Skeleton for Summarizing Continuously Distributed Demand in a Region,1.0
giscience_2021_004,Serverless GEO Labels for the Semantic Sensor Web,10.4230/lipics.giscience.2021.i.4,Serverless GEO Labels for the Semantic Sensor Web,1.0
